player_id,game_id,game_date,matchup,team_abbreviation,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,fg3m,fg3a,avg_points_last5,avg_assists_last5,avg_rebounds_last5,avg_minutes_last5,avg_fg3m_last5,avg_fg3a_last5,avg_fga_last5,fg3_pct_last5
203903,22500622,2026-01-21,NYK vs. BKN,NYK,12.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,2.0,1.5,1.0,2.0,9.5,0.0,1.5,3.5,0.0
203914,22500666,2026-01-27,MIL @ PHI,MIL,14.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,0.0,
203924,22500660,2026-01-26,POR @ BOS,POR,27.0,19.0,3.0,2.0,0.0,2.0,0.0,4.0,9.0,1.0,3.0,16.333333333333332,2.0,1.6666666666666667,25.666666666666668,1.3333333333333333,4.0,10.333333333333334,0.3333333333333333
203926,22500515,2026-01-06,SAC vs. DAL,SAC,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.5,0.0,0.0,5.5,0.5,1.5,1.5,0.3333333333333333
203932,22500640,2026-01-23,DEN @ MIL,DEN,16.0,13.0,3.0,6.0,2.0,0.0,1.0,4.0,9.0,1.0,2.0,13.0,3.0,6.0,16.0,1.0,2.0,9.0,0.5
203935,22500661,2026-01-26,LAL @ CHI,,32.0,12.0,1.0,2.0,1.0,0.0,0.0,3.0,6.0,1.0,3.0,6.0,2.0,1.5,28.25,0.75,2.5,5.25,0.3
203937,22500649,2026-01-24,UTA vs. MIA,UTA,15.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.3333333333333335,3.3333333333333335,2.3333333333333335,19.0,0.0,0.0,3.0,
203939,22500648,2026-01-24,DAL vs. LAL,,24.0,0.0,2.0,7.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.25,1.5,5.25,15.5,0.0,0.0,1.75,
203944,22500663,2026-01-26,MIN vs. GSW,,23.0,18.0,2.0,7.0,1.0,0.0,6.0,7.0,15.0,1.0,6.0,22.25,4.5,6.0,29.25,1.75,5.0,16.75,0.35
203952,22500655,2026-01-25,MIA @ PHX,,24.0,10.0,3.0,10.0,0.0,0.0,0.0,5.0,12.0,0.0,4.0,10.0,3.0,10.0,24.0,0.0,4.0,12.0,0.0
203954,22500666,2026-01-27,PHI vs. MIL,PHI,29.0,29.0,5.0,9.0,1.0,0.0,2.0,11.0,24.0,1.0,4.0,35.333333333333336,5.666666666666667,8.333333333333334,34.666666666666664,1.6666666666666667,3.6666666666666665,24.0,0.4545454545454546
203967,22500394,2025-12-20,SAC vs. POR,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
203991,22500662,2026-01-26,HOU vs. MEM,HOU,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.75,4.5,11.75,0.0,0.0,3.5,
203992,22500431,2025-12-26,LAC @ POR,LAC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
203994,22500649,2026-01-24,UTA vs. MIA,,31.0,17.0,12.0,10.0,1.0,1.0,3.0,8.0,13.0,1.0,1.0,13.0,6.0,9.333333333333334,29.0,1.0,2.0,10.333333333333334,0.5
203999,22500450,2025-12-29,DEN @ MIA,DEN,19.0,21.0,8.0,5.0,0.0,0.0,2.0,9.0,14.0,1.0,4.0,22.666666666666668,7.0,8.0,24.333333333333332,1.3333333333333333,3.0,11.333333333333334,0.4444444444444444
204001,22500519,2026-01-07,ATL vs. NOP,,22.0,13.0,2.0,3.0,1.0,1.0,1.0,4.0,11.0,4.0,8.0,13.0,2.0,3.0,22.0,4.0,8.0,11.0,0.5
204060,22500663,2026-01-26,MIN vs. GSW,MIN,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,0.0,0.5,
